datum,bodovi,link
"Vrijeme početka: subota, 17. listopada 2020. u 19,15","1. set: 16:25
     2. set: 30:28
     3. set: 25:19
     4. set: 25:17
     ukupno: 96:89",OK RIBOLA KAŠTELA – OK ROVINJ
"Vrijeme početka: subota, 10. listopada 2020. u 19,00","1. set: 15:25
     2. set: 24:26
     3. set: 25:23
     4. set: 25:23
     5. set: 15:12
     ukupno: 104:109",OK ZADAR – OK SISAK
"Vrijeme početka: nedjelja, 14. ožujka 2021. u 16,00","1. set: 24:26
     2. set: 25:13
     3. set: 23:25
     4. set: 23:25
     ukupno: 95:89",OK KITRO VARAŽDIN  – OK ROVINJ
"Vrijeme početka: subota, 20. veljače 2021. u 20,00","1. set: 25:15
     2. set: 25:14
     3. set: 25:22
     ukupno: 75:51",OK KITRO VARAŽDIN  – MOK MARSONIA
"Vrijeme početka: subota, 3. travnja 2021. u 17,00","1. set: 30:28
     2. set: 25:23
     3. set: 25:20
     ukupno: 80:71",OK SPLIT – OKM CENTROMETAL
"Vrijeme početka: subota, 6. ožujka 2021. u 18,00","1. set: 25:15
     2. set: 25:21
     3. set: 25:23
     ukupno: 75:59",OK ROVINJ – MOK MARSONIA
"Vrijeme početka: nedjelja, 25. listopada 2020. u 17,00","1. set: 25:19
     2. set: 28:26
     3. set: 25:18
     ukupno: 78:63",HAOK MLADOST – MOK MARSONIA
"Vrijeme početka: petak, 12. ožujka 2021. u 19,30","1. set: 17:25
     2. set: 24:26
     3. set: 17:25
     ukupno: 58:76",OK KITRO VARAŽDIN  – HAOK MLADOST
"Vrijeme početka: srijeda, 14. travnja 2021. u 20,15","1. set: 25:20
     2. set: 25:23
     3. set: 17:25
     4. set: 24:26
     5. set: 15:8
     ukupno: 106:102",OK RIBOLA KAŠTELA – HAOK MLADOST
"Vrijeme početka: subota, 3. travnja 2021. u 19,00","1. set: 25:13
     2. set: 20:25
     3. set: 25:21
     4. set: 25:22
     ukupno: 95:81",OK ROVINJ – MOK RIJEKA
