datum,bodovi,link
"Vrijeme početka: subota, 21. studenog 2020. u 17,00","1. set: 16:25
     2. set: 23:25
     3. set: 18:25
     ukupno: 57:75",OK ZADAR – MOK RIJEKA
"Vrijeme početka: subota, 5. prosinca 2020. u 17,00","1. set: 17:25
     2. set: 17:25
     3. set: 16:25
     ukupno: 50:75",OK KITRO VARAŽDIN  – HAOK MLADOST
"Vrijeme početka: četvrtak, 3. prosinca 2020. u 18,00","1. set: 25:23
     2. set: 19:25
     3. set: 27:25
     4. set: 19:25
     5. set: 13:15
     ukupno: 103:113",OK ROVINJ – OKM CENTROMETAL
"Vrijeme početka: četvrtak, 11. ožujka 2021. u 17,00","1. set: 17:25
     2. set: 25:23
     3. set: 25:20
     4. set: 25:22
     ukupno: 92:90",MOK MURSA - OSIJEK – OK RIBOLA KAŠTELA
"Vrijeme početka: utorak, 16. veljače 2021. u 18,00","1. set: 22:25
     2. set: 25:20
     3. set: 16:25
     4. set: 25:22
     5. set: 15:10
     ukupno: 103:102",OK RIBOLA KAŠTELA – HAOK MLADOST
"Vrijeme početka: subota, 5. prosinca 2020. u 18,00","1. set: 22:25
     2. set: 17:25
     3. set: 16:25
     ukupno: 55:75",OK SISAK – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 5. prosinca 2020. u 19,00","1. set: 32:30
     2. set: 18:25
     3. set: 25:16
     4. set: 25:13
     ukupno: 100:84",OK SPLIT – MOK RIJEKA
"Vrijeme početka: srijeda, 10. veljače 2021. u 20,00","1. set: 26:28
     2. set: 26:24
     3. set: 25:19
     4. set: 26:24
     ukupno: 103:95",MOK MURSA - OSIJEK – OK SPLIT
"Vrijeme početka: subota, 21. studenog 2020. u 20,00","1. set: 25:23
     2. set: 20:25
     3. set: 20:25
     4. set: 20:25
     ukupno: 85:98",MOK MARSONIA – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 16. prosinca 2020. u 20,00","1. set: 20:25
     2. set: 13:25
     3. set: 18:25
     ukupno: 51:75",OKM CENTROMETAL – MOK MURSA - OSIJEK
