datum,bodovi,link
"Vrijeme početka: subota, 5. veljače 2022. u 17,00","1. set: 25:27
     2. set: 25:27
     3. set: 17:25
     ukupno: 67:79",OK RIBOLA KAŠTELA – HAOK MLADOST
"Vrijeme početka: subota, 27. studenog 2021. u 19,30","1. set: 25:20
     2. set: 21:25
     3. set: 21:25
     4. set: 23:25
     ukupno: 90:95",OK ZADAR – OK SPLIT
"Vrijeme početka: utorak, 29. ožujka 2022. u 18,30","1. set: 25:21
     2. set: 25:18
     3. set: 23:25
     4. set: 26:24
     ukupno: 99:88",MOK MARSONIA – OK GORICA
"Vrijeme početka: subota, 9. listopada 2021. u 19,00","1. set: 25:19
     2. set: 25:20
     3. set: 25:16
     ukupno: 75:55",OKM CENTROMETAL – MOK MARSONIA
"Vrijeme početka: subota, 12. veljače 2022. u 17,00","1. set: 25:18
     2. set: 25:20
     3. set: 25:18
     ukupno: 75:56",MOK RIJEKA – OK GORICA
"Vrijeme početka: subota, 19. ožujka 2022. u 19,00","1. set: 24:26
     2. set: 19:25
     3. set: 14:25
     ukupno: 57:76",OKM CENTROMETAL – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 2. listopada 2021. u 18,00","1. set: 25:14
     2. set: 25:21
     3. set: 25:12
     ukupno: 75:47",OK KITRO VARAŽDIN  – OK GORICA
"Vrijeme početka: subota, 5. ožujka 2022. u 20,00","1. set: 26:24
     2. set: 25:12
     3. set: 25:20
     ukupno: 76:56",MOK MURSA - OSIJEK – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 13. travnja 2022. u 19,00","1. set: 25:22
     2. set: 25:22
     3. set: 25:22
     ukupno: 75:66",MOK MURSA - OSIJEK – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 19. ožujka 2022. u 16,45","1. set: 25:17
     2. set: 25:19
     3. set: 21:25
     4. set: 25:23
     ukupno: 96:84",OK ZADAR – OK GORICA
"Vrijeme početka: subota, 30. listopada 2021. u 20,00","1. set: 25:17
     2. set: 25:22
     3. set: 25:22
     ukupno: 75:61",OK SPLIT – OK GORICA
"Vrijeme početka: subota, 9. listopada 2021. u 17,00","1. set: 25:15
     2. set: 25:16
     3. set: 25:22
     ukupno: 75:53",OK SPLIT – OK SISAK
"Vrijeme početka: subota, 26. ožujka 2022. u 19,00","1. set: 16:25
     2. set: 27:25
     3. set: 12:25
     4. set: 10:25
     ukupno: 65:100",OK SISAK – HAOK MLADOST
"Vrijeme početka: četvrtak, 24. veljače 2022. u 18,00","1. set: 25:17
     2. set: 25:18
     3. set: 25:17
     ukupno: 75:52",OK SISAK – OK ZADAR
"Vrijeme početka: subota, 30. listopada 2021. u 16,00","1. set: 25:27
     2. set: 15:25
     3. set: 22:25
     ukupno: 62:77",OK SISAK – OKM CENTROMETAL
"Vrijeme početka: subota, 13. studenog 2021. u 19,00","1. set: 25:17
     2. set: 23:25
     3. set: 26:24
     4. set: 25:22
     ukupno: 99:88",OK SPLIT – OKM CENTROMETAL
"Vrijeme početka: petak, 3. prosinca 2021. u 19,30","1. set: 25:22
     2. set: 25:15
     3. set: 25:17
     ukupno: 75:54",OK RIBOLA KAŠTELA – OK ROVINJ
"Vrijeme početka: nedjelja, 3. listopada 2021. u 17,00","1. set: 16:25
     2. set: 14:25
     3. set: 11:25
     ukupno: 41:75",MOK MARSONIA – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 12. veljače 2022. u 19,00","1. set: 20:25
     2. set: 24:26
     3. set: 23:25
     ukupno: 67:76",MOK MARSONIA – OK ROVINJ
"Vrijeme početka: utorak, 29. ožujka 2022. u 19,15","1. set: 25:11
     2. set: 25:11
     3. set: 25:12
     ukupno: 75:34",OK KITRO VARAŽDIN  – OK SPLIT
"Vrijeme početka: subota, 5. ožujka 2022. u 18,30","1. set: 25:20
     2. set: 25:15
     3. set: 25:15
     ukupno: 75:50",OK RIBOLA KAŠTELA – OK GORICA
"Vrijeme početka: subota, 30. listopada 2021. u 20,00","1. set: 13:25
     2. set: 12:25
     3. set: 25:27
     ukupno: 50:77",MOK MARSONIA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 4. prosinca 2021. u 18,00","1. set: 25:21
     2. set: 25:23
     3. set: 25:22
     ukupno: 75:66",HAOK MLADOST – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 27. studenog 2021. u 19,00","1. set: 22:25
     2. set: 27:25
     3. set: 17:25
     4. set: 25:20
     5. set: 14:16
     ukupno: 105:111",MOK MARSONIA – OK SISAK
"Vrijeme početka: nedjelja, 23. siječnja 2022. u 16,00","1. set: 25:12
     2. set: 25:18
     3. set: 25:15
     ukupno: 75:45",OK RIBOLA KAŠTELA – MOK MARSONIA
"Vrijeme početka: subota, 2. listopada 2021. u 17,00","1. set: 25:18
     2. set: 25:23
     3. set: 27:29
     4. set: 25:21
     ukupno: 102:91",OK SISAK – MOK RIJEKA
"Vrijeme početka: subota, 19. ožujka 2022. u 16,00","1. set: 25:15
     2. set: 19:25
     3. set: 22:25
     4. set: 26:24
     5. set: 6:15
     ukupno: 98:104",OK ROVINJ – OK SPLIT
"Vrijeme početka: subota, 19. veljače 2022. u 19,00","1. set: 25:18
     2. set: 23:25
     3. set: 21:25
     4. set: 25:14
     5. set: 15:10
     ukupno: 109:92",OK RIBOLA KAŠTELA – MOK RIJEKA
"Vrijeme početka: subota, 18. prosinca 2021. u 18,00","1. set: 25:13
     2. set: 25:21
     3. set: 25:14
     ukupno: 75:48",OKM CENTROMETAL – OK ZADAR
"Vrijeme početka: subota, 27. studenog 2021. u 19,30","1. set: 25:22
     2. set: 25:18
     3. set: 25:20
     ukupno: 75:60",OKM CENTROMETAL – OK GORICA
"Vrijeme početka: nedjelja, 13. veljače 2022. u 18,30","1. set: 20:25
     2. set: 23:25
     3. set: 19:25
     ukupno: 62:75",OKM CENTROMETAL – HAOK MLADOST
"Vrijeme početka: subota, 27. studenog 2021. u 18,00","1. set: 23:25
     2. set: 25:17
     3. set: 25:19
     4. set: 25:19
     ukupno: 98:80",MOK MURSA - OSIJEK – OK RIBOLA KAŠTELA
