datum,domacin,gost,rezultat,brOsSetDomacin,brOsSetGost,osBodDomacin,osBodGost,proRazBodUSet,pobjednik,pobjednikDomacinIliGost,omjProPobj,proPobjDomacinNadGost,brDaOdZadDomacin,brDaOdZadGost,omjSvukOsSet,omjSvukOsSetDomacinProtGost,omjSvukIzgSet,omjSvukIzgSetDomacinProtGost,omjSvukOsBod,omjSvukOsBodDomacinProtGost,omjSvukIzgBod,omjSvukIzgBodDomacinProtGost
2019-11-09,MOK MURSA - OSIJEK,OK SISAK, 3-0,3,0,75,57,6.0,MOK MURSA - OSIJEK,0,1.3750000000000002,1.0,7,7,1.1764705882352942,3.0,0.875,0.3333333333333333,0.8571428571428571,1.2714285714285714,0.8571428571428571,0.7865168539325843
2019-11-09,OK ROVINJ,OK KITRO VARAŽDIN, 2-2,2,2,67,97,-7.5,OK KITRO VARAŽDIN,1,0.5,0.0,7,6,0.7352941176470589,0.3333333333333333,1.2702702702702702,3.0,0.9522160664819944,1.0340909090909092,0.9522160664819944,0.967032967032967
2019-11-10,OK MEDICINAR TRNJE,MOK MARSONIA, 3-0,3,0,75,61,4.666666666666667,OK MEDICINAR TRNJE,0,2.0,1.0,8,8,1.2916666666666667,3.0,0.8333333333333334,0.3333333333333333,0.9254467036352434,1.065934065934066,0.9254467036352434,0.9381443298969072
2019-11-10,OK SPLIT,OK ZADAR, 3-0,3,0,77,63,4.666666666666667,OK SPLIT,0,2.0,0.0,8,8,1.16,0.3333333333333333,0.875,3.0,0.9788199697428139,0.9381443298969072,0.9788199697428139,1.065934065934066
2019-11-16,OK ZADAR,MOK MURSA - OSIJEK, 0-3,0,3,49,75,-8.666666666666666,MOK MURSA - OSIJEK,1,0.25,0.0,6,7,0.5813953488372093,0.3333333333333333,1.457142857142857,3.0,0.882727852135118,0.7444444444444445,0.882727852135118,1.3432835820895523
2019-11-16,OK SISAK,OKM CENTROMETAL, 3-0,3,0,75,59,5.333333333333333,OK SISAK,0,1.3333333333333333,0.5,7,7,1.1333333333333333,1.0,0.9772727272727273,1.0,1.0817307692307692,1.0476190476190477,1.0817307692307692,0.9545454545454546
2019-11-16,MOK MARSONIA,OK SPLIT, 3-1,3,1,98,88,2.5,MOK MARSONIA,0,0.42857142857142855,0.0,6,6,0.75,0.3333333333333333,1.2142857142857142,3.0,1.2283005105762217,0.845360824742268,1.2283005105762217,1.1829268292682926
2019-11-16,OK ROVINJ,OK MEDICINAR TRNJE, 0-3,0,3,50,75,-8.333333333333334,OK MEDICINAR TRNJE,1,0.5714285714285714,1.0,7,6,0.7941176470588235,3.0,1.225,0.3333333333333333,0.9143944197844007,1.484375,0.9143944197844007,0.6736842105263158
2019-11-17,OK KITRO VARAŽDIN,MOK RIJEKA, 1-3,1,3,79,98,-4.75,MOK RIJEKA,1,0.6428571428571429,1.0,8,8,0.75,3.0,1.4444444444444444,0.3333333333333333,0.9577377252952144,1.3428571428571427,0.9577377252952144,0.7446808510638298
2019-11-23,MOK RIJEKA,OK SISAK, 3-0,3,0,75,55,6.666666666666667,MOK RIJEKA,0,1.6666666666666665,1.0,6,7,1.3783783783783783,3.0,0.6511627906976745,0.3333333333333333,0.9104,1.010989010989011,0.9104,0.9891304347826086
2019-11-23,MOK MURSA - OSIJEK,MOK MARSONIA, 3-0,3,0,82,62,6.666666666666667,MOK MURSA - OSIJEK,0,3.25,0.0,7,7,1.7037037037037037,0.3333333333333333,0.6730769230769231,3.0,0.9225589225589226,0.9578947368421052,0.9225589225589226,1.043956043956044
2019-11-23,OK SPLIT,OK ROVINJ, 3-0,3,0,75,51,8.0,OK SPLIT,0,1.7499999999999998,0.0,7,7,1.2222222222222223,0.3333333333333333,0.8653846153846154,3.0,0.9778820375335121,0.9894736842105263,0.9778820375335121,1.0106382978723405
2019-11-23,OK MEDICINAR TRNJE,OK KITRO VARAŽDIN, 3-0,3,0,75,62,4.333333333333333,OK MEDICINAR TRNJE,0,0.888888888888889,0.0,7,6,1.0,0.3333333333333333,0.9523809523809523,3.0,1.019753086419753,0.7701149425287356,1.019753086419753,1.2985074626865671
2019-11-23,OKM CENTROMETAL,OK ZADAR, 3-0,3,0,77,56,7.0,OKM CENTROMETAL,0,2.0,0.0,7,7,1.2,0.3333333333333333,0.8703703703703703,3.0,1.201534170153417,0.735632183908046,1.201534170153417,1.359375
2019-11-30,OK KITRO VARAŽDIN,OK SISAK, 2-3,2,3,106,110,-0.8,OK SISAK,1,1.0,1.0,7,7,1.0,3.0,0.9782608695652174,0.3333333333333333,0.8715025906735752,1.2105263157894737,0.8715025906735752,0.8260869565217391
2019-11-30,MOK MARSONIA,OKM CENTROMETAL, 3-2,3,2,105,110,-1.0,MOK MARSONIA,0,0.5714285714285714,0.0,7,7,0.8181818181818182,0.3333333333333333,1.1702127659574468,3.0,1.0244444444444445,0.6597938144329897,1.0244444444444445,1.515625
2019-11-30,OK ZADAR,MOK RIJEKA, 0-3,0,3,42,75,-11.0,MOK RIJEKA,1,0.1875,0.0,7,7,0.46296296296296297,0.3333333333333333,2.0357142857142856,3.0,0.8361391694725028,0.8045977011494253,0.8361391694725028,1.2428571428571429
2019-11-30,OK ROVINJ,MOK MURSA - OSIJEK, 1-3,1,3,67,95,-7.0,MOK MURSA - OSIJEK,1,0.2857142857142857,0.0,7,7,0.5510204081632653,0.3333333333333333,1.5714285714285714,3.0,0.8939745075318656,0.9479166666666666,0.8939745075318656,1.054945054945055
2019-11-30,OK MEDICINAR TRNJE,OK SPLIT, 0-3,0,3,63,75,-4.0,OK SPLIT,1,1.125,0.0,7,7,1.1111111111111112,0.3333333333333333,0.8888888888888888,3.0,1.1258148631029987,0.8,1.1258148631029987,1.25
2019-12-07,MOK RIJEKA,MOK MARSONIA, 2-1,2,1,75,37,12.666666666666666,MOK RIJEKA,0,3.4,0.0,7,7,1.9,0.3333333333333333,0.49122807017543857,3.0,0.952796305797845,0.7608695652173914,0.952796305797845,1.3142857142857143
2019-12-07,OK SISAK,OK ZADAR, 3-0,3,0,75,57,6.0,OK SISAK,0,3.3333333333333335,0.0,7,7,1.6,0.3333333333333333,0.8,3.0,1.3315926892950392,0.9318181818181818,1.3315926892950392,1.0731707317073171
2019-12-07,OK SPLIT,OK KITRO VARAŽDIN, 3-0,3,0,75,57,6.0,OK SPLIT,0,1.0,0.5,7,7,1.0,1.0,0.9375,1.0,0.8998881431767338,0.8260869565217391,0.8998881431767338,1.2105263157894737
2019-12-07,MOK MURSA - OSIJEK,OK MEDICINAR TRNJE, 3-1,3,1,90,93,-0.75,MOK MURSA - OSIJEK,0,1.6666666666666665,0.0,7,7,1.3,0.3333333333333333,0.8372093023255814,3.0,1.01731843575419,0.9791666666666666,1.01731843575419,1.0212765957446808
2019-12-07,OKM CENTROMETAL,OK ROVINJ, 3-0,3,0,75,45,10.0,OKM CENTROMETAL,0,1.75,0.0,7,7,1.25,0.3333333333333333,0.8620689655172413,3.0,1.186335403726708,0.9239130434782609,1.186335403726708,1.0823529411764705
2019-12-14,MOK MURSA - OSIJEK,OK SPLIT, 2-3,2,3,103,106,-0.6,OK SPLIT,1,1.6,0.0,7,7,1.3095238095238095,0.4444444444444444,0.8222222222222222,2.25,1.1347980997624703,0.795774647887324,1.1347980997624703,1.2566371681415929
2019-12-14,OK KITRO VARAŽDIN,OK ZADAR, 3-0,3,0,75,60,5.0,OK KITRO VARAŽDIN ,0,3.0,0.3333333333333333,7,7,1.56,0.7142857142857143,0.8095238095238095,1.4,1.1611076148521082,0.8636363636363636,1.1611076148521082,1.1578947368421053
2019-12-14,OK SISAK,MOK MARSONIA, 3-0,3,0,75,58,5.666666666666667,OK SISAK,0,2.2,0.0,7,7,1.3870967741935485,0.3333333333333333,0.8135593220338984,3.0,1.0649546827794563,0.9344827586206896,1.0649546827794563,1.070110701107011
2019-12-14,OKM CENTROMETAL,OK MEDICINAR TRNJE, 3-0,3,0,76,62,4.666666666666667,OKM CENTROMETAL,0,0.8888888888888888,0.6666666666666666,7,7,0.926829268292683,1.75,1.0869565217391304,0.5714285714285714,1.0541688794476898,1.1056910569105691,1.0541688794476898,0.9044117647058824
2019-12-14,MOK RIJEKA,OK ROVINJ, 3-0,3,0,75,48,9.0,MOK RIJEKA,0,4.5,0.0,7,7,2.107142857142857,0.2222222222222222,0.47540983606557374,4.5,1.1673716012084592,0.6951672862453532,1.1673716012084592,1.4385026737967914
2019-12-15,OK KITRO VARAŽDIN,OK SPLIT, 1-2,1,2,37,75,-12.666666666666666,OK SPLIT,1,0.9090909090909092,0.6666666666666666,1,1,0.9333333333333333,1.75,1.0851063829787233,0.5714285714285714,1.0726256983240223,0.941908713692946,1.0726256983240223,1.0616740088105727
2019-12-17,OK ZADAR,MOK RIJEKA, 0-3,0,3,53,75,-7.333333333333333,MOK RIJEKA,1,0.15789473684210528,0.0,3,3,0.4032258064516129,0.2222222222222222,2.2758620689655173,4.5,0.8216243148978575,0.7309236947791165,0.8216243148978575,1.3681318681318682
2019-12-19,MOK MARSONIA,MOK MURSA - OSIJEK, 0-3,0,3,49,75,-8.666666666666666,MOK MURSA - OSIJEK,1,0.31250000000000006,0.3333333333333333,5,5,0.543859649122807,0.2222222222222222,1.55,4.5,1.0148957298907646,0.8970588235294118,1.0148957298907646,1.1147540983606556
2019-12-20,MOK MARSONIA,OK ZADAR, 3-0,3,0,75,63,4.0,MOK MARSONIA,0,1.6666666666666667,0.0,1,3,1.24,0.625,0.9420289855072463,1.6,1.2297297297297298,0.9180887372013652,1.2297297297297298,1.0892193308550187
2019-12-21,MOK MURSA - OSIJEK,OK KITRO VARAŽDIN, 3-2,3,2,109,104,1.0,MOK MURSA - OSIJEK,0,1.7,0.0,2,6,1.3953488372093024,0.3333333333333333,0.7547169811320755,3.0,1.0674501788451711,0.9452554744525548,1.0674501788451711,1.057915057915058
2019-12-21,OK MEDICINAR TRNJE,MOK RIJEKA, 0-3,0,3,57,76,-6.333333333333333,MOK RIJEKA,1,0.46875,0.3333333333333333,7,4,0.6307692307692307,0.3333333333333333,1.6896551724137931,3.0,0.9341978866474544,0.6986301369863014,0.9341978866474544,1.4313725490196079
2019-12-21,OK SISAK,OK ROVINJ, 3-1,3,1,101,87,3.5,OK SISAK,0,3.0,0.0,7,7,1.6428571428571428,0.4444444444444444,0.75,2.25,1.285965942454492,0.8065573770491803,1.285965942454492,1.2398373983739837
2019-12-21,OK SPLIT,OKM CENTROMETAL, 3-0,3,0,75,47,9.333333333333334,OK SPLIT,0,1.28,1.0,6,7,1.146341463414634,1.2,0.96,0.8333333333333334,0.9049005337214944,0.9961089494163424,0.9049005337214944,1.00390625
2020-01-11,MOK RIJEKA,OK SPLIT, 0-3,0,3,62,75,-4.333333333333333,OK SPLIT,1,1.6153846153846154,0.0,21,21,1.36,0.2222222222222222,0.6041666666666666,4.5,1.1123711340206186,0.7416974169741697,1.1123711340206186,1.3482587064676617
2020-01-11,OK KITRO VARAŽDIN,MOK MARSONIA, 2-3,2,3,109,91,3.6,MOK MARSONIA,1,1.6666666666666667,0.0,21,22,1.3235294117647058,0.3333333333333333,0.8615384615384616,3.0,0.9506457564575646,0.8286713286713286,0.9506457564575646,1.2067510548523206
2020-01-15,OK ZADAR,OK ROVINJ, 2-2,2,2,94,71,5.75,OK ROVINJ,1,0.7211538461538461,1.0,26,25,0.8620689655172413,2.25,1.0746268656716418,0.4444444444444444,0.9860335195530726,1.1333333333333333,0.9860335195530726,0.8823529411764706
2020-01-15,OKM CENTROMETAL,MOK MURSA - OSIJEK, 3-2,3,2,106,98,1.6,OKM CENTROMETAL,0,0.52,0.3333333333333333,25,25,0.6507936507936508,0.4444444444444444,1.2619047619047619,2.25,0.9590536851683349,0.7755102040816326,0.9590536851683349,1.2894736842105263
2020-01-16,OK SISAK,OK MEDICINAR TRNJE, 1-3,1,3,90,98,-2.0,OK MEDICINAR TRNJE,1,1.4444444444444446,0.3333333333333333,26,26,1.1951219512195121,0.8571428571428571,0.9423076923076923,1.1666666666666667,1.1443556443556444,1.048780487804878,1.1443556443556444,0.9534883720930233
2020-01-18,OK ROVINJ,MOK MARSONIA, 0-3,0,3,56,75,-6.333333333333333,MOK MARSONIA,1,0.7417582417582418,1.0,3,7,0.8378378378378378,1.2,1.0298507462686568,0.8333333333333334,0.8238158477202302,0.991869918699187,0.8238158477202302,1.0081967213114753
2020-01-18,OKM CENTROMETAL,OK KITRO VARAŽDIN, 1-3,1,3,87,95,-2.0,OK KITRO VARAŽDIN,1,1.0384615384615385,0.3333333333333333,3,7,0.9361702127659575,0.2222222222222222,0.9322033898305084,4.5,1.0202764976958525,0.8996138996138996,1.0202764976958525,1.111587982832618
2020-01-18,OK MEDICINAR TRNJE,OK ZADAR, 3-0,3,0,75,46,9.666666666666666,OK MEDICINAR TRNJE,0,3.461538461538462,0.6666666666666666,2,3,1.6296296296296295,4.5,0.7162162162162162,0.2222222222222222,1.1296395911780528,1.4385026737967914,1.1296395911780528,0.6951672862453532
2020-01-18,MOK MURSA - OSIJEK,MOK RIJEKA, 3-0,3,0,77,71,2.0,MOK MURSA - OSIJEK,0,0.8571428571428571,0.6666666666666666,3,7,0.9558823529411765,1.6,1.40625,0.625,1.0342342342342343,1.089928057553957,1.0342342342342343,0.9174917491749175
2020-01-19,OK SPLIT,OK SISAK, 3-0,3,0,75,51,8.0,OK SPLIT,0,1.037037037037037,1.0,8,3,1.06,1.4,0.9230769230769231,0.7142857142857143,0.8462830743385132,1.0228136882129277,0.8462830743385132,0.9776951672862454
2020-02-01,OK SISAK,MOK MURSA - OSIJEK, 2-3,2,3,112,106,1.2,MOK MURSA - OSIJEK,1,0.7095516569200779,1.0,13,14,0.7352941176470589,4.5,1.2222222222222223,0.2222222222222222,1.0248630425621577,1.284263959390863,1.0248630425621577,0.7786561264822134
2020-02-01,MOK RIJEKA,OKM CENTROMETAL, 3-1,3,1,98,83,3.75,MOK RIJEKA,0,2.025,1.0,14,14,1.511111111111111,1.4,0.603448275862069,0.7142857142857143,0.9956540634506736,1.2410714285714286,0.9956540634506736,0.8057553956834532
2020-02-01,MOK MARSONIA,OK MEDICINAR TRNJE, 3-2,3,2,96,102,-1.2,MOK MARSONIA,0,0.7012987012987013,1.0,14,14,0.851063829787234,4.5,1.2641509433962264,0.2222222222222222,1.0731034482758621,1.1069958847736625,1.0731034482758621,0.9033457249070632
2020-02-01,OK ZADAR,OK SPLIT, 3-2,3,2,99,99,0.0,OK ZADAR,0,0.19999999999999998,0.3333333333333333,14,13,0.48214285714285715,0.2222222222222222,1.6041666666666667,4.5,0.9114832535885168,0.9040590405904059,0.9114832535885168,1.1061224489795918
2020-02-01,OK KITRO VARAŽDIN,OK ROVINJ, 3-0,3,0,75,44,10.333333333333334,OK KITRO VARAŽDIN ,0,2.1214285714285714,0.0,14,14,1.6129032258064515,0.5,0.8333333333333334,2.0,1.1815336463223787,0.9120879120879121,1.1815336463223787,1.0963855421686748
2020-02-08,OKM CENTROMETAL,OK SISAK, 1-3,1,3,82,94,-3.0,OK SISAK,1,0.7692307692307693,0.6666666666666666,7,7,0.8846153846153846,0.5714285714285714,1.0517241379310345,1.75,0.9371069182389937,0.9670781893004116,0.9371069182389937,1.0340425531914894
